[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000560s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000604s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000721s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002693s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000896s ]
[ 2012-09-19T23:20:45+08:00 ] /xxx2/index.php/Room/index/id/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000980s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ route_check ] --START--
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run CheckRoute Behavior [ RunTime:0.000874s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ route_check ] --END-- [ RunTime:0.000978s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ app_begin ] --START--
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000577s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000641s ]
[ 2012-09-19T23:21:06+08:00 ] /xxx2/index.php/Room/index/id/%7B$id%7D | INFO: Tag[ view_template ] --START--
