[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000938s ]
[ 2012-09-14T22:49:03+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001078s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.003765s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`f_cata` FROM `think_catalog` WHERE f_id=0  [ RunTime:0.021222s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_link` [ RunTime:0.004301s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`addr`,`info` FROM `think_link`  [ RunTime:0.002169s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SHOW COLUMNS FROM `think_tongzhi` [ RunTime:0.003260s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | SQL: SELECT `id`,`title`,`content`,`name`,`dt` FROM `think_tongzhi`  [ RunTime:0.004571s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | NOTIC: [8] Undefined index: username functions.php 第 441 行.
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000918s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001026s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.019849s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019987s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000590s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000685s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000358s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001492s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003405s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --START--
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001072s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001182s ]
[ 2012-09-14T22:49:04+08:00 ] /xxx2/index.php | INFO: Tag[ app_begin ] --START--
