[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ route_check ] --END-- [ RunTime:0.001205s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000818s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000897s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\ArticleAction.class.php:1) ArticleAction.class.php 第 67 行.
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.000225s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | SQL: SELECT * FROM `think_catalog` WHERE f_id=0  [ RunTime:0.000136s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | NOTIC: [8] Undefined index: select ArticleAction.class.php 第 74 行.
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | SQL: SHOW COLUMNS FROM `think_cata` [ RunTime:0.000122s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | SQL: SELECT COUNT(*) AS tp_count FROM `think_cata` LIMIT 1   [ RunTime:0.000134s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | SQL: SELECT `id`,`title`,`Catalog`,`f_catalog`,`user`,`title`,`dt` FROM `think_cata` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000283s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_template ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run LocationTemplate Behavior [ RunTime:0.001209s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_template ] --END-- [ RunTime:0.001286s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_parse ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run ParseTemplate Behavior [ RunTime:0.019152s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019259s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_filter ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run ContentReplace Behavior [ RunTime:0.000838s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run TokenBuild Behavior [ RunTime:0.000773s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000290s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run ShowRuntime Behavior [ RunTime:0.000554s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002634s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\ArticleAction.class.php:1) View.class.php 第 120 行.
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\ArticleAction.class.php:1) View.class.php 第 121 行.
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\ArticleAction.class.php:1) View.class.php 第 122 行.
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_end ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Run ShowPageTrace Behavior [ RunTime:0.001216s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/lis | INFO: Tag[ view_end ] --END-- [ RunTime:0.001314s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | INFO: Run CheckRoute Behavior [ RunTime:0.001842s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | INFO: Tag[ route_check ] --END-- [ RunTime:0.001984s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001476s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001605s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.000336s ]
[ 2013-01-03T10:31:45+08:00 ] /xxx2/admin_e.php/Article/select?name=null | SQL: SELECT * FROM `think_catalog` WHERE f_cata='null' LIMIT 1   [ RunTime:0.000357s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ route_check ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run CheckRoute Behavior [ RunTime:0.000958s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ route_check ] --END-- [ RunTime:0.001153s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ app_begin ] --START--
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000658s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000723s ]
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin_e\Lib\Action\FilmAction.class.php:1) FilmAction.class.php 第 64 行.
[ 2013-01-03T10:31:47+08:00 ] /xxx2/admin_e.php/Film/film_mag | SQL: SHOW COLUMNS FROM `think_catalog` [ RunTime:0.000098s ]
