[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_template ] --START--
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run LocationTemplate Behavior [ RunTime:0.000660s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000731s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_parse ] --START--
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | NOTIC: [8] Undefined variable: username cd182087b83552f9bd38d84c8275057e.php 第 73 行.
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | NOTIC: [8] Undefined variable: username cd182087b83552f9bd38d84c8275057e.php 第 73 行.
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run ParseTemplate Behavior [ RunTime:0.010723s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010807s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_filter ] --START--
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run ContentReplace Behavior [ RunTime:0.000542s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run TokenBuild Behavior [ RunTime:0.000547s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000297s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run ShowRuntime Behavior [ RunTime:0.000556s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002156s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 120 行.
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 121 行.
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) View.class.php 第 122 行.
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_end ] --START--
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000539s ]
[ 2012-09-11T00:05:14+08:00 ] /xxx2/admin.php/Index/add_second/id/4 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000615s ]
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ route_check ] --START--
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run CheckRoute Behavior [ RunTime:0.003551s ]
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ route_check ] --END-- [ RunTime:0.003707s ]
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ app_begin ] --START--
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006355s ]
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006468s ]
[ 2012-09-11T00:05:17+08:00 ] /xxx2/admin.php/Index/catalog | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\XAMPP\xampp\htdocs\xxx2\admin\Lib\Action\IndexAction.class.php:1) IndexAction.class.php 第 204 行.
